date,month,dayofweek,tavg,tmin,tmax,prcp,wspd,pres,AQI
2014-08-17 00:00:00,8,6,13.4,11.0,16.0,nan,26.3,nan,Good
2014-08-18 00:00:00,8,0,13.3,11.0,16.0,nan,12.5,nan,Good
2014-08-19 00:00:00,8,1,11.0,5.0,16.0,nan,11.0,nan,Good
2014-08-20 00:00:00,8,2,11.0,6.0,16.0,nan,11.1,nan,Good
2014-08-21 00:00:00,8,3,11.5,9.0,16.0,nan,16.2,nan,Good
2014-08-22 00:00:00,8,4,11.0,7.0,16.0,nan,7.7,nan,Good
2014-08-23 00:00:00,8,5,10.8,8.0,15.0,nan,8.2,nan,Good
2014-08-24 00:00:00,8,6,10.7,7.0,16.0,nan,6.9,nan,Good
2014-08-25 00:00:00,8,0,10.7,3.0,15.0,nan,16.1,nan,Good
2014-08-26 00:00:00,8,1,12.3,8.0,15.0,nan,18.6,nan,Good
2014-08-27 00:00:00,8,2,10.1,2.0,18.0,nan,11.9,nan,Good
2014-08-28 00:00:00,8,3,16.0,12.0,21.0,nan,18.5,nan,Good
2014-08-29 00:00:00,8,4,14.5,13.0,16.0,nan,21.1,nan,Good
2014-08-30 00:00:00,8,5,14.5,13.0,17.0,nan,23.7,nan,Good
2014-08-31 00:00:00,8,6,15.0,10.0,20.0,nan,16.0,nan,Good
2014-09-01 00:00:00,9,0,15.1,13.0,19.0,nan,11.3,nan,Good
2014-09-02 00:00:00,9,1,14.1,11.0,16.0,nan,7.6,nan,Good
2014-09-03 00:00:00,9,2,14.6,12.0,17.0,nan,5.8,nan,Good
2014-09-04 00:00:00,9,3,15.6,12.0,20.0,nan,4.6,nan,Good
2014-09-05 00:00:00,9,4,14.8,12.0,18.0,nan,9.7,nan,Good
2014-09-06 00:00:00,9,5,12.8,10.0,17.0,nan,6.7,nan,Good
2014-09-07 00:00:00,9,6,11.6,6.0,18.0,nan,10.3,nan,Good
2014-09-08 00:00:00,9,0,11.3,6.0,17.0,nan,8.3,nan,Good
2014-09-09 00:00:00,9,1,12.9,7.0,18.0,nan,6.1,nan,Good
2014-09-10 00:00:00,9,2,12.3,6.0,17.0,nan,7.5,nan,Good
2014-09-11 00:00:00,9,3,12.8,9.0,19.0,nan,4.9,nan,Good
2014-09-12 00:00:00,9,4,12.4,8.0,18.0,nan,4.8,nan,Good
2014-09-13 00:00:00,9,5,13.6,8.0,19.0,nan,7.0,nan,Moderate
2014-09-14 00:00:00,9,6,13.3,8.0,15.0,nan,14.6,nan,Good
2014-09-15 00:00:00,9,0,13.6,13.0,14.0,nan,15.7,nan,Good
2014-09-16 00:00:00,9,1,14.4,13.0,16.0,nan,9.8,nan,Good
2014-09-17 00:00:00,9,2,13.6,12.0,15.0,nan,9.3,nan,Good
2014-09-18 00:00:00,9,3,14.6,14.0,15.0,nan,11.7,nan,Good
2014-09-19 00:00:00,9,4,14.0,13.0,15.0,nan,9.5,nan,Good
2014-09-20 00:00:00,9,5,13.9,10.0,17.0,nan,4.9,nan,Moderate
2014-09-21 00:00:00,9,6,10.0,5.0,16.0,nan,5.2,nan,Moderate
2014-09-22 00:00:00,9,0,12.3,7.0,18.0,nan,11.0,nan,Moderate
2014-09-23 00:00:00,9,1,13.0,11.0,15.0,nan,12.5,nan,Good
2014-09-24 00:00:00,9,2,12.0,8.0,16.0,nan,10.7,nan,Good
2014-09-25 00:00:00,9,3,14.6,10.0,18.0,nan,24.2,nan,Good
2014-09-26 00:00:00,9,4,14.0,10.0,16.0,nan,26.8,nan,Good
2014-09-27 00:00:00,9,5,12.7,9.0,17.0,nan,20.3,nan,Good
2014-09-28 00:00:00,9,6,15.6,11.0,19.0,nan,14.9,nan,Good
2014-09-29 00:00:00,9,0,13.2,7.0,19.0,nan,5.9,nan,Good
2014-09-30 00:00:00,9,1,15.5,11.0,21.0,nan,14.1,nan,Good
2014-10-01 00:00:00,10,2,13.0,6.0,17.0,nan,17.0,nan,Good
2014-10-02 00:00:00,10,3,10.0,2.0,16.0,nan,14.4,nan,Good
2014-10-03 00:00:00,10,4,13.0,10.0,16.0,nan,21.1,nan,Good
2014-10-04 00:00:00,10,5,9.1,5.0,13.0,nan,9.4,nan,Good
2014-10-05 00:00:00,10,6,10.1,4.0,14.0,nan,17.7,nan,Good
2014-10-06 00:00:00,10,0,10.2,4.0,13.0,nan,20.2,nan,Good
2014-10-07 00:00:00,10,1,6.9,1.0,13.0,nan,13.4,nan,Good
2014-10-08 00:00:00,10,2,8.3,3.0,12.0,nan,11.5,nan,Good
2014-10-09 00:00:00,10,3,9.9,7.0,13.0,nan,4.9,nan,Good
2014-10-10 00:00:00,10,4,9.6,4.0,14.0,nan,10.9,nan,Good
2014-10-11 00:00:00,10,5,7.3,1.0,14.0,nan,5.4,nan,Good
2014-10-12 00:00:00,10,6,7.0,2.0,12.0,nan,4.2,nan,Good
2014-10-13 00:00:00,10,0,8.5,3.0,11.0,nan,14.8,nan,Good
2014-10-14 00:00:00,10,1,9.5,7.0,12.0,nan,17.1,nan,Good
2014-10-15 00:00:00,10,2,8.5,2.0,13.0,nan,11.8,nan,Good
2014-10-16 00:00:00,10,3,11.3,10.0,13.0,nan,15.2,nan,Good
2014-10-17 00:00:00,10,4,13.8,10.0,18.0,nan,12.7,nan,Good
2014-10-18 00:00:00,10,5,15.7,14.0,17.0,nan,25.0,nan,Moderate
2014-10-19 00:00:00,10,6,13.3,10.0,15.0,nan,34.9,nan,Good
2014-10-20 00:00:00,10,0,11.7,10.0,13.0,nan,25.1,nan,Good
2014-10-21 00:00:00,10,1,9.5,6.0,13.0,nan,26.6,nan,Good
2014-10-22 00:00:00,10,2,9.9,7.0,12.0,nan,23.4,nan,Good
2014-10-23 00:00:00,10,3,12.7,11.0,14.0,nan,23.7,nan,Good
2014-10-24 00:00:00,10,4,9.8,8.0,11.0,nan,20.8,nan,Good
2014-10-25 00:00:00,10,5,10.8,9.0,13.0,nan,35.2,nan,Good
2014-10-26 00:00:00,10,6,12.4,11.0,14.0,nan,47.0,nan,Good
2014-10-27 00:00:00,10,0,15.5,14.0,17.0,nan,31.5,nan,Good
2014-10-28 00:00:00,10,1,10.5,3.0,16.0,nan,20.3,nan,Good
2014-10-29 00:00:00,10,2,6.2,3.0,11.0,nan,7.6,nan,Good
2014-10-30 00:00:00,10,3,10.3,6.0,16.0,nan,8.7,nan,Good
2014-10-31 00:00:00,10,4,16.6,14.0,19.0,nan,19.3,nan,Good
2014-11-01 00:00:00,11,5,12.2,10.0,14.0,nan,21.4,nan,Good
2014-11-02 00:00:00,11,6,9.9,7.0,12.0,nan,21.6,nan,Good
2014-11-03 00:00:00,11,0,6.9,5.0,10.0,nan,9.1,nan,Good
2014-11-04 00:00:00,11,1,7.3,5.0,10.0,nan,8.6,nan,Good
2014-11-05 00:00:00,11,2,4.3,-1.0,9.0,nan,5.6,nan,Good
2014-11-06 00:00:00,11,3,7.5,-1.0,11.0,nan,14.2,nan,Good
2014-11-07 00:00:00,11,4,9.5,5.0,12.0,nan,16.1,nan,Good
2014-11-08 00:00:00,11,5,7.4,4.0,10.0,nan,12.0,nan,Good
2014-11-09 00:00:00,11,6,5.2,1.0,9.0,nan,5.3,nan,Good
2014-11-10 00:00:00,11,0,4.1,-1.0,9.0,nan,5.0,nan,Good
2014-11-11 00:00:00,11,1,9.8,6.0,12.0,nan,16.4,nan,Good
2014-11-12 00:00:00,11,2,10.8,9.0,12.0,nan,15.9,nan,Good
2014-11-13 00:00:00,11,3,9.5,7.0,13.0,nan,16.4,nan,Good
2014-11-14 00:00:00,11,4,8.8,2.0,12.0,nan,13.0,nan,Good
2014-11-15 00:00:00,11,5,4.1,0.0,8.0,nan,5.2,nan,Good
2014-11-16 00:00:00,11,6,5.5,3.0,7.0,nan,7.2,nan,Good
2014-11-17 00:00:00,11,0,9.6,7.0,11.0,nan,17.6,nan,Good
2014-11-18 00:00:00,11,1,7.9,5.0,11.0,nan,6.9,nan,Good
2014-11-19 00:00:00,11,2,7.8,5.0,10.0,nan,9.9,nan,Good
2014-11-20 00:00:00,11,3,7.4,2.0,10.0,nan,6.5,nan,Moderate
2014-11-21 00:00:00,11,4,4.7,0.0,8.0,nan,9.8,nan,Good
2014-11-22 00:00:00,11,5,9.3,7.0,14.0,nan,11.4,nan,Good
2014-11-23 00:00:00,11,6,5.6,3.0,8.0,nan,12.9,nan,Good
2014-11-24 00:00:00,11,0,7.1,4.0,9.0,nan,15.3,nan,Good
2014-11-25 00:00:00,11,1,7.2,6.0,8.0,nan,6.4,nan,Good
2014-11-26 00:00:00,11,2,4.5,1.0,7.0,nan,1.4,nan,Good
2014-11-27 00:00:00,11,3,7.1,4.0,9.0,nan,6.4,nan,Good
2014-11-28 00:00:00,11,4,7.3,2.0,10.0,nan,8.1,nan,Good
2014-11-29 00:00:00,11,5,9.2,7.0,10.0,nan,10.6,nan,Good
2014-11-30 00:00:00,11,6,6.4,0.0,10.0,nan,8.5,nan,Good
2014-12-01 00:00:00,12,0,5.6,0.0,10.0,nan,6.1,nan,Good
2014-12-02 00:00:00,12,1,3.0,0.0,6.0,nan,9.1,nan,Good
2014-12-03 00:00:00,12,2,4.1,-2.0,8.0,nan,7.5,nan,Good
2014-12-04 00:00:00,12,3,4.9,3.0,7.0,nan,3.6,nan,Good
2014-12-05 00:00:00,12,4,2.8,-1.0,5.0,nan,11.3,nan,Good
2014-12-06 00:00:00,12,5,5.1,-1.0,10.0,nan,21.8,nan,Good
2014-12-08 00:00:00,12,0,2.0,0.0,4.0,nan,15.6,nan,Good
2014-12-09 00:00:00,12,1,5.5,-2.0,11.0,nan,29.0,nan,Good
2014-12-10 00:00:00,12,2,3.7,2.0,5.0,nan,34.9,nan,Good
2014-12-11 00:00:00,12,3,2.2,1.0,4.0,nan,24.7,nan,Good
2014-12-12 00:00:00,12,4,1.5,-1.0,4.0,nan,14.8,nan,Good
2014-12-13 00:00:00,12,5,1.4,-2.0,5.0,nan,17.9,nan,Good
2014-12-14 00:00:00,12,6,6.1,3.0,8.0,nan,32.1,nan,Good
2014-12-15 00:00:00,12,0,3.4,2.0,4.0,nan,19.9,nan,Good
2014-12-16 00:00:00,12,1,3.7,0.0,7.0,nan,15.4,nan,Good
2014-12-17 00:00:00,12,2,9.4,8.0,11.0,nan,21.0,nan,Good
2014-12-18 00:00:00,12,3,8.8,5.0,11.0,nan,24.2,nan,Good
2014-12-19 00:00:00,12,4,4.1,3.0,5.0,nan,25.6,nan,Good
2014-12-20 00:00:00,12,5,5.9,5.0,8.0,nan,22.2,nan,Good
2014-12-21 00:00:00,12,6,9.5,7.0,12.0,nan,33.9,nan,Good
2014-12-22 00:00:00,12,0,8.3,7.0,11.0,nan,24.9,nan,Good
2014-12-23 00:00:00,12,1,5.9,2.0,8.0,nan,17.1,nan,Good
2014-12-24 00:00:00,12,2,4.6,2.0,7.0,nan,22.7,nan,Good
2014-12-25 00:00:00,12,3,1.8,-4.0,5.0,nan,5.8,nan,Good
2014-12-26 00:00:00,12,4,-0.1,-2.0,1.0,nan,3.1,nan,Good
2014-12-27 00:00:00,12,5,1.5,-1.0,3.0,nan,6.9,nan,Good
2014-12-28 00:00:00,12,6,0.0,-2.0,3.0,nan,7.7,nan,Good
2014-12-31 00:00:00,12,2,8.5,4.0,11.0,nan,24.4,nan,Good
2015-01-01 00:00:00,1,3,nan,nan,nan,nan,nan,nan,Good
2015-01-02 00:00:00,1,4,4.9,2.0,8.0,nan,29.9,nan,Good
2015-01-03 00:00:00,1,5,3.0,0.0,6.0,nan,14.9,nan,Good
