date,month,dayofweek,tavg,tmin,tmax,prcp,wspd,pres,AQI
2017-10-14 00:00:00,10,5,28.8,21.5,37.0,nan,4.2,1005.7,Unhealthy
2017-10-15 00:00:00,10,6,28.2,19.2,36.5,nan,3.5,1006.1,Very Unhealthy
2017-10-16 00:00:00,10,0,27.2,19.0,36.5,nan,4.5,1007.0,Unhealthy
2017-10-17 00:00:00,10,1,26.6,18.4,35.0,nan,5.7,1008.5,Unhealthy
2017-10-18 00:00:00,10,2,27.4,18.7,34.5,nan,5.5,1009.5,Very Unhealthy
2017-10-19 00:00:00,10,3,28.5,19.4,37.2,nan,3.0,1009.7,Very Unhealthy
2017-10-20 00:00:00,10,4,27.8,20.5,36.3,nan,3.3,1008.9,Hazardous
2017-10-21 00:00:00,10,5,25.9,18.4,35.3,nan,5.1,nan,Very Unhealthy
2017-10-22 00:00:00,10,6,27.7,18.0,36.7,nan,4.7,1006.7,Very Unhealthy
2017-10-23 00:00:00,10,0,27.8,18.8,36.5,nan,nan,1008.6,Unhealthy
2017-10-24 00:00:00,10,1,24.3,17.8,35.4,nan,5.0,1011.7,Very Unhealthy
2017-10-25 00:00:00,10,2,23.8,17.0,33.0,nan,3.9,1014.1,Very Unhealthy
2017-10-26 00:00:00,10,3,23.8,16.1,33.1,nan,nan,nan,Very Unhealthy
2017-10-27 00:00:00,10,4,23.8,17.3,33.2,nan,5.2,1013.8,Very Unhealthy
2017-10-28 00:00:00,10,5,23.3,16.6,32.8,nan,5.2,nan,Very Unhealthy
2017-10-29 00:00:00,10,6,22.9,16.7,33.4,nan,nan,1015.4,Very Unhealthy
2017-10-30 00:00:00,10,0,22.5,16.7,32.6,nan,1.7,1015.3,Very Unhealthy
2017-12-20 00:00:00,12,2,16.4,9.6,23.7,nan,6.0,nan,Hazardous
2017-12-21 00:00:00,12,3,17.4,12.0,24.2,nan,6.9,1020.8,Hazardous
2017-12-22 00:00:00,12,4,17.9,11.0,25.2,nan,10.1,1018.7,Very Unhealthy
2017-12-23 00:00:00,12,5,16.1,10.6,25.3,nan,10.2,1015.2,Unhealthy
2017-12-24 00:00:00,12,6,15.6,6.3,25.2,nan,3.1,1015.3,Very Unhealthy
2017-12-25 00:00:00,12,0,13.6,7.0,25.1,nan,5.7,1017.2,Hazardous
2017-12-26 00:00:00,12,1,14.4,7.1,23.0,nan,5.2,1017.8,Hazardous
2017-12-27 00:00:00,12,2,15.1,7.6,25.0,nan,4.3,1017.0,Very Unhealthy
2017-12-28 00:00:00,12,3,15.1,7.0,25.4,nan,2.8,1016.8,Hazardous
2017-12-29 00:00:00,12,4,15.3,6.8,25.3,nan,3.4,nan,Very Unhealthy
2017-12-30 00:00:00,12,5,13.9,7.2,25.3,nan,nan,nan,Hazardous
2017-12-31 00:00:00,12,6,12.9,6.4,22.6,nan,3.5,1015.9,Hazardous
2018-01-01 00:00:00,1,0,12.2,5.7,23.9,nan,nan,nan,Hazardous
2018-01-02 00:00:00,1,1,11.8,8.4,20.1,nan,5.1,1014.6,Hazardous
2018-01-03 00:00:00,1,2,11.2,8.0,16.0,nan,7.2,1015.3,Hazardous
2018-01-04 00:00:00,1,3,12.2,5.0,21.2,nan,6.6,1015.2,Very Unhealthy
2018-01-05 00:00:00,1,4,11.6,7.0,21.2,nan,7.7,1014.7,Hazardous
2018-01-06 00:00:00,1,5,11.4,4.2,20.8,nan,5.6,1013.9,Hazardous
2018-01-07 00:00:00,1,6,13.2,6.4,20.8,nan,10.5,1014.7,Very Unhealthy
2018-01-08 00:00:00,1,0,12.1,5.0,20.7,nan,6.5,nan,Very Unhealthy
2018-01-09 00:00:00,1,1,12.2,4.2,21.7,nan,6.0,1018.6,Hazardous
2018-01-10 00:00:00,1,2,14.7,6.8,22.5,nan,11.4,nan,Very Unhealthy
2018-01-11 00:00:00,1,3,14.4,8.0,23.4,nan,nan,1016.8,Very Unhealthy
2018-01-12 00:00:00,1,4,14.6,8.0,22.7,nan,7.1,1015.8,Very Unhealthy
2018-01-13 00:00:00,1,5,13.6,5.5,23.7,nan,5.0,1016.0,Very Unhealthy
2018-01-14 00:00:00,1,6,14.0,5.7,24.6,nan,5.9,nan,Very Unhealthy
2018-01-15 00:00:00,1,0,14.7,6.4,25.0,nan,9.4,1016.1,Very Unhealthy
2018-01-16 00:00:00,1,1,16.1,9.1,24.6,nan,nan,nan,Unhealthy
2018-01-17 00:00:00,1,2,13.6,5.6,25.5,nan,10.0,1014.4,Very Unhealthy
2018-01-18 00:00:00,1,3,16.1,7.0,26.6,nan,4.7,1015.0,Hazardous
2018-01-19 00:00:00,1,4,15.7,6.0,23.0,nan,6.6,1016.0,Hazardous
2018-01-20 00:00:00,1,5,14.2,8.0,24.9,nan,9.0,nan,Very Unhealthy
2018-01-21 00:00:00,1,6,13.9,5.0,24.4,nan,nan,nan,Very Unhealthy
2018-01-22 00:00:00,1,0,15.5,5.9,25.8,nan,6.5,1012.9,Very Unhealthy
2018-01-23 00:00:00,1,1,12.6,9.4,25.2,0.0,12.4,1010.5,Very Unhealthy
2018-01-24 00:00:00,1,2,13.0,7.4,17.2,4.1,8.6,1013.3,Very Unhealthy
2018-01-25 00:00:00,1,3,12.4,8.8,18.9,0.0,9.2,1013.0,Very Unhealthy
2018-01-26 00:00:00,1,4,12.0,7.0,18.4,nan,6.6,1013.5,Very Unhealthy
2018-01-27 00:00:00,1,5,13.0,9.0,19.2,nan,6.0,1013.6,Very Unhealthy
2018-01-28 00:00:00,1,6,13.6,6.4,21.5,nan,6.4,1014.4,Very Unhealthy
2018-01-29 00:00:00,1,0,14.3,7.0,24.4,nan,nan,nan,Very Unhealthy
2018-01-30 00:00:00,1,1,16.9,9.8,26.6,nan,12.7,nan,Very Unhealthy
2018-01-31 00:00:00,1,2,17.2,9.9,26.9,nan,12.9,nan,Very Unhealthy
2018-02-01 00:00:00,2,3,18.7,11.0,27.2,nan,5.9,nan,Very Unhealthy
2018-02-02 00:00:00,2,4,17.7,10.5,27.8,nan,8.0,1012.7,Very Unhealthy
2018-02-03 00:00:00,2,5,16.0,9.3,26.5,nan,7.8,1015.2,Unhealthy
2018-02-04 00:00:00,2,6,14.4,9.0,24.6,nan,10.3,1015.7,Very Unhealthy
2018-02-05 00:00:00,2,0,14.8,6.3,23.7,nan,7.0,1017.8,Very Unhealthy
2018-02-06 00:00:00,2,1,16.0,11.0,22.0,nan,9.8,1017.8,Very Unhealthy
2018-02-07 00:00:00,2,2,15.0,8.5,24.0,nan,8.9,1014.8,Unhealthy
2018-02-08 00:00:00,2,3,13.9,5.5,24.1,nan,nan,1013.8,Very Unhealthy
2018-02-09 00:00:00,2,4,14.6,6.1,24.8,nan,nan,1013.8,Very Unhealthy
2018-02-10 00:00:00,2,5,14.2,6.1,24.4,nan,3.2,1015.9,Very Unhealthy
2018-02-11 00:00:00,2,6,17.4,8.5,25.6,nan,9.9,1015.5,Unhealthy
2018-02-12 00:00:00,2,0,16.4,13.0,25.4,nan,14.7,1017.5,Unhealthy
2018-02-13 00:00:00,2,1,16.4,9.0,23.9,nan,8.1,1022.0,Unhealthy
2018-02-14 00:00:00,2,2,16.4,10.2,23.5,nan,12.6,1022.0,Unhealthy for Sensitive Groups
2018-02-15 00:00:00,2,3,17.5,11.6,23.4,nan,13.2,nan,Unhealthy
2018-02-16 00:00:00,2,4,17.7,11.2,24.8,nan,10.4,nan,Unhealthy
2018-02-20 00:00:00,2,1,19.0,10.1,29.3,nan,nan,1013.4,Unhealthy
2018-02-21 00:00:00,2,2,21.5,12.5,32.2,nan,4.3,1011.1,Unhealthy
2018-02-22 00:00:00,2,3,22.0,14.0,31.7,nan,4.7,nan,Very Unhealthy
2018-02-23 00:00:00,2,4,22.8,15.5,32.0,nan,4.9,nan,Unhealthy
2018-02-24 00:00:00,2,5,23.9,17.0,31.1,nan,8.4,1012.3,Unhealthy
2018-02-25 00:00:00,2,6,22.5,17.0,31.6,nan,10.7,nan,Unhealthy
2018-02-26 00:00:00,2,0,21.1,14.5,29.4,nan,14.9,1013.7,Unhealthy for Sensitive Groups
2018-02-27 00:00:00,2,1,22.3,15.4,30.2,nan,11.6,nan,Unhealthy
2018-02-28 00:00:00,2,2,22.9,15.4,31.2,nan,6.0,1013.3,Very Unhealthy
2018-03-01 00:00:00,3,3,21.7,14.9,30.7,nan,7.2,1011.7,Unhealthy
2018-03-02 00:00:00,3,4,22.9,15.5,31.0,nan,6.3,1010.1,Unhealthy
2018-03-03 00:00:00,3,5,24.0,16.6,32.3,nan,5.8,1007.9,Unhealthy
2018-03-04 00:00:00,3,6,22.6,17.3,33.1,nan,10.8,1009.5,Unhealthy for Sensitive Groups
2018-03-05 00:00:00,3,0,21.6,14.5,31.7,nan,10.8,nan,Unhealthy for Sensitive Groups
2018-03-06 00:00:00,3,1,21.0,14.8,28.8,nan,13.7,1014.0,Unhealthy for Sensitive Groups
2018-03-07 00:00:00,3,2,21.8,14.7,30.5,nan,10.2,1013.0,Unhealthy for Sensitive Groups
2018-03-08 00:00:00,3,3,22.6,13.3,33.0,nan,5.0,1013.7,Unhealthy
2018-03-09 00:00:00,3,4,23.4,14.8,32.2,nan,7.9,nan,Unhealthy
2018-03-10 00:00:00,3,5,23.9,16.0,32.2,nan,12.6,1013.0,Unhealthy for Sensitive Groups
2018-03-11 00:00:00,3,6,23.6,16.5,32.6,nan,10.1,nan,Unhealthy
2018-03-12 00:00:00,3,0,24.8,16.4,34.6,nan,9.1,1011.8,Unhealthy
2018-03-13 00:00:00,3,1,25.9,17.1,37.5,nan,7.3,1010.3,Unhealthy
2018-03-14 00:00:00,3,2,24.8,17.0,36.2,nan,7.5,1008.5,Unhealthy
2018-03-15 00:00:00,3,3,25.0,17.2,34.1,nan,11.2,1008.7,Unhealthy for Sensitive Groups
2018-03-16 00:00:00,3,4,24.0,16.8,32.4,nan,10.0,1010.0,Unhealthy
2018-03-17 00:00:00,3,5,24.0,17.5,31.2,nan,13.0,1011.3,Unhealthy for Sensitive Groups
2018-03-18 00:00:00,3,6,23.5,14.6,33.7,nan,8.6,1012.5,Unhealthy for Sensitive Groups
2018-03-19 00:00:00,3,0,24.6,15.0,35.5,nan,7.4,1013.8,Unhealthy for Sensitive Groups
2018-03-20 00:00:00,3,1,26.1,16.5,35.0,nan,6.6,1011.0,Unhealthy
2018-03-21 00:00:00,3,2,26.1,21.0,35.0,0.0,11.4,1008.6,Unhealthy
2018-03-22 00:00:00,3,3,24.8,18.5,33.2,nan,12.4,1009.6,Unhealthy for Sensitive Groups
2018-03-23 00:00:00,3,4,24.1,18.0,31.1,nan,nan,nan,Unhealthy for Sensitive Groups
2018-03-24 00:00:00,3,5,25.4,18.3,33.8,nan,nan,1013.3,Unhealthy for Sensitive Groups
