date,month,dayofweek,tavg,tmin,tmax,prcp,wspd,pres,AQI
2018-02-12 00:00:00,2,0,2.3,1.0,4.2,4.3,10.3,1012.0,Good
2018-02-13 00:00:00,2,1,4.9,2.0,7.0,0.0,9.3,1014.9,Moderate
2018-02-14 00:00:00,2,2,5.8,3.0,8.0,0.3,21.5,1009.7,Moderate
2018-02-15 00:00:00,2,3,3.7,1.0,8.8,10.4,16.9,1018.3,Moderate
2018-02-16 00:00:00,2,4,3.9,1.0,11.0,0.0,14.3,1024.8,Moderate
2018-02-17 00:00:00,2,5,3.9,0.0,9.2,0.0,7.7,nan,Moderate
2018-02-18 00:00:00,2,6,4.9,0.0,10.4,0.0,11.7,nan,Moderate
2018-02-19 00:00:00,2,0,4.1,3.0,6.2,0.0,15.9,1020.8,Moderate
2018-02-20 00:00:00,2,1,4.3,2.0,6.0,1.0,26.6,1018.5,Moderate
2018-02-21 00:00:00,2,2,5.2,4.9,6.2,2.3,17.5,1015.3,Moderate
2018-02-22 00:00:00,2,3,3.4,2.0,5.6,0.0,14.5,1014.6,Moderate
2018-02-23 00:00:00,2,4,2.8,1.0,7.1,22.4,9.3,1017.3,Moderate
2018-02-24 00:00:00,2,5,2.3,0.0,5.0,0.0,6.3,nan,Moderate
2018-02-25 00:00:00,2,6,-3.4,-4.0,3.4,0.0,17.6,1015.9,Moderate
2018-02-26 00:00:00,2,0,-4.7,-7.0,0.0,1.0,32.8,nan,Moderate
2018-02-27 00:00:00,2,1,-6.0,-7.0,-0.3,11.4,21.4,1009.1,Good
2018-02-28 00:00:00,2,2,-7.9,-9.0,-4.4,4.1,21.8,1012.0,Moderate
2018-03-01 00:00:00,3,3,-6.1,-13.0,0.8,1.8,9.2,1020.7,Moderate
2018-03-02 00:00:00,3,4,2.6,-2.4,5.4,0.8,8.6,nan,Moderate
2018-03-03 00:00:00,3,5,5.8,3.0,11.7,1.0,10.3,998.5,Moderate
2018-03-04 00:00:00,3,6,0.1,-1.0,7.5,1.3,7.5,nan,Moderate
2018-03-05 00:00:00,3,0,2.8,-1.0,5.0,5.3,11.7,nan,Moderate
2018-03-06 00:00:00,3,1,6.4,4.0,8.8,1.0,10.9,1003.6,Moderate
2018-03-07 00:00:00,3,2,11.7,4.0,19.9,2.0,12.8,nan,Moderate
2018-03-08 00:00:00,3,3,9.4,5.0,14.0,0.0,8.9,1005.0,Moderate
2018-03-09 00:00:00,3,4,7.8,4.7,15.0,0.0,10.6,1014.5,Moderate
2018-03-10 00:00:00,3,5,9.6,3.0,18.0,0.0,8.6,1014.8,Moderate
2018-03-11 00:00:00,3,6,11.0,7.0,19.0,0.0,7.8,1013.3,Good
2018-03-12 00:00:00,3,0,9.7,4.0,16.0,0.0,10.6,1010.5,Moderate
2018-03-13 00:00:00,3,1,11.3,8.0,17.0,0.0,15.6,1002.6,Moderate
2018-03-14 00:00:00,3,2,12.2,8.0,19.0,0.0,14.6,1004.7,Moderate
2018-03-15 00:00:00,3,3,9.4,5.0,16.0,2.3,8.1,1009.6,Moderate
2018-03-16 00:00:00,3,4,10.5,4.0,14.0,0.0,7.6,1009.4,Moderate
2018-03-17 00:00:00,3,5,15.4,9.3,19.0,0.0,10.4,1003.9,Moderate
2018-03-18 00:00:00,3,6,7.1,-0.5,19.2,0.0,15.3,nan,Good
2018-03-19 00:00:00,3,0,-0.6,-3.0,2.6,5.3,11.9,nan,Good
2018-03-20 00:00:00,3,1,1.9,0.0,5.6,13.0,20.0,nan,Good
2018-03-21 00:00:00,3,2,3.3,0.0,6.0,3.3,9.8,nan,Good
2018-03-22 00:00:00,3,3,0.1,-1.0,5.2,3.0,11.9,nan,Good
2018-03-23 00:00:00,3,4,2.7,-0.4,6.2,5.6,17.6,nan,Good
2018-03-24 00:00:00,3,5,0.4,-1.4,2.5,3.8,10.7,nan,Good
2018-03-25 00:00:00,3,6,4.2,nan,7.0,0.3,nan,nan,Moderate
2018-03-26 00:00:00,3,0,7.3,5.4,9.5,0.5,13.7,nan,Moderate
2018-03-27 00:00:00,3,1,7.0,5.0,10.0,17.3,9.7,1011.1,Moderate
2018-03-28 00:00:00,3,2,5.1,2.0,8.8,0.0,5.0,1012.6,Moderate
2018-03-29 00:00:00,3,3,6.9,4.0,13.0,3.3,10.2,1011.8,Moderate
2018-03-30 00:00:00,3,4,8.1,3.0,13.0,0.0,10.4,1016.5,Moderate
2018-03-31 00:00:00,3,5,11.6,4.0,21.0,0.0,8.7,1013.2,Moderate
2018-04-01 00:00:00,4,6,13.2,9.0,18.0,0.0,16.1,1002.9,Moderate
2018-04-04 00:00:00,4,2,10.4,3.0,18.0,0.0,9.1,1019.0,Good
2018-04-05 00:00:00,4,3,11.4,5.0,17.0,0.0,8.5,1013.1,Good
2018-04-06 00:00:00,4,4,11.4,8.0,17.0,0.0,8.7,1011.6,Moderate
2018-04-07 00:00:00,4,5,14.8,9.0,21.0,0.0,15.7,nan,Moderate
2018-04-08 00:00:00,4,6,15.6,11.0,21.0,0.0,18.6,1020.5,Good
2018-04-09 00:00:00,4,0,12.2,7.0,21.0,0.0,10.7,1017.3,Moderate
2018-04-10 00:00:00,4,1,8.3,4.0,15.0,0.0,10.9,nan,Moderate
2018-04-11 00:00:00,4,2,8.7,7.0,nan,0.0,nan,nan,Good
2018-04-12 00:00:00,4,3,9.7,7.0,15.0,0.0,9.3,nan,Good
2018-04-13 00:00:00,4,4,9.6,5.0,17.0,0.0,8.8,nan,Good
2018-04-14 00:00:00,4,5,9.3,6.0,12.0,0.0,9.7,nan,Good
2018-04-15 00:00:00,4,6,10.3,8.0,15.0,0.0,8.1,1024.7,Good
2018-04-16 00:00:00,4,0,10.6,8.0,14.3,0.0,11.0,1020.9,Moderate
2018-04-17 00:00:00,4,1,10.8,5.0,16.0,0.0,7.1,1018.4,Good
2018-04-18 00:00:00,4,2,13.1,8.0,17.4,0.0,9.3,1022.8,Moderate
2018-04-19 00:00:00,4,3,17.1,10.0,23.6,0.0,12.0,1021.2,Moderate
2018-04-20 00:00:00,4,4,14.4,11.0,17.0,7.4,14.9,1017.4,Moderate
2018-04-21 00:00:00,4,5,14.5,10.0,20.0,0.0,16.0,1019.6,Good
2018-04-22 00:00:00,4,6,17.1,7.0,27.0,0.0,9.9,1014.0,Moderate
2018-04-23 00:00:00,4,0,16.6,10.0,25.0,0.0,10.0,1013.3,Moderate
2018-04-24 00:00:00,4,1,16.8,9.0,23.0,0.0,7.9,1014.3,Moderate
2018-04-25 00:00:00,4,2,19.3,12.0,25.0,0.0,10.7,nan,Moderate
2018-04-26 00:00:00,4,3,18.0,11.0,26.0,0.0,7.7,1012.4,Moderate
2018-04-27 00:00:00,4,4,18.0,12.0,26.0,0.0,9.5,1013.3,Moderate
2018-04-28 00:00:00,4,5,15.3,11.0,19.0,0.0,12.6,1020.5,Moderate
2018-04-29 00:00:00,4,6,14.4,9.0,19.0,0.0,11.4,1019.8,Good
2018-04-30 00:00:00,4,0,14.1,7.0,20.0,0.0,9.1,1015.6,Good
2018-05-01 00:00:00,5,1,14.1,8.0,18.6,0.0,10.0,1014.5,Good
2018-05-02 00:00:00,5,2,15.4,13.0,19.3,0.0,10.9,nan,Good
2018-05-03 00:00:00,5,3,14.8,13.0,18.8,0.0,10.3,nan,Good
2018-05-04 00:00:00,5,4,17.0,13.0,22.0,0.0,7.3,nan,Good
2018-05-05 00:00:00,5,5,18.0,10.0,25.0,0.0,8.9,nan,Good
2018-05-06 00:00:00,5,6,19.8,13.0,28.0,0.0,9.2,nan,Moderate
2018-05-07 00:00:00,5,0,21.6,17.0,26.8,0.5,20.6,nan,Good
2018-05-08 00:00:00,5,1,17.1,15.0,22.1,0.0,16.7,1005.1,Good
2018-05-09 00:00:00,5,2,17.9,15.8,24.2,2.0,9.1,1004.0,Good
2018-05-10 00:00:00,5,3,17.1,15.6,20.4,22.6,7.4,1006.8,Good
2018-05-11 00:00:00,5,4,17.1,15.0,20.2,3.8,14.1,1011.3,Good
2018-05-12 00:00:00,5,5,14.9,10.0,20.0,0.0,12.5,1015.1,Good
2018-05-13 00:00:00,5,6,16.3,7.0,23.0,0.0,11.1,1011.5,Good
2018-05-14 00:00:00,5,0,16.9,15.0,20.6,0.0,14.9,1013.0,Good
2018-05-15 00:00:00,5,1,17.9,15.0,21.0,0.0,16.5,nan,Good
2018-05-16 00:00:00,5,2,21.4,16.0,28.0,0.0,10.3,nan,Moderate
2018-05-17 00:00:00,5,3,20.2,17.0,23.0,0.0,8.5,nan,Moderate
2018-05-18 00:00:00,5,4,19.7,14.0,26.0,14.5,8.8,nan,Good
2018-05-19 00:00:00,5,5,18.4,16.0,23.4,21.8,9.6,nan,Moderate
2018-05-20 00:00:00,5,6,18.3,15.0,22.0,2.3,8.0,nan,Good
2018-05-21 00:00:00,5,0,17.8,15.0,21.0,0.0,13.4,nan,Good
2018-05-22 00:00:00,5,1,18.1,12.0,23.0,0.0,10.7,nan,Good
2018-05-23 00:00:00,5,2,18.8,13.0,24.6,0.0,9.3,nan,Good
2018-05-24 00:00:00,5,3,19.9,12.0,26.0,0.0,7.3,nan,Good
2018-05-25 00:00:00,5,4,22.1,16.0,27.0,0.0,10.4,nan,Moderate
2018-05-26 00:00:00,5,5,21.3,18.0,25.2,0.0,19.0,nan,Moderate
2018-05-27 00:00:00,5,6,20.1,18.0,24.0,0.0,12.7,nan,Moderate
2018-05-28 00:00:00,5,0,19.9,nan,nan,0.0,nan,nan,Good
2018-05-29 00:00:00,5,1,20.9,16.0,24.4,0.0,13.6,1017.6,Moderate
2018-05-30 00:00:00,5,2,20.2,15.0,25.0,0.0,14.2,1016.5,Good
2018-05-31 00:00:00,5,3,20.9,12.0,28.0,0.0,10.2,1014.5,Good
2018-06-01 00:00:00,6,4,22.7,15.0,30.0,0.0,13.7,1014.5,Moderate
2018-06-02 00:00:00,6,5,18.3,13.0,24.0,0.0,10.7,1018.1,Moderate
2018-06-03 00:00:00,6,6,18.6,12.0,24.2,0.0,9.4,1013.9,Good
